ArrivalRegion	SourceRegion	NISDens	TotDens	PropNIS	CPNIS	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous
4	7	82.80254777	2904.458599	0.028508772	5	0	0	0	0	0	0	0	0	0	0	30.43170559	0	0	0	0	0	0	0	1.415428167	43.87827318	0	2.830856334	0	0	0	0	4.246284501	0	0	0	0	0	0	0	0	0
2	7	3.538570418	218.5067233	0.016194332	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.769285209	0	0	0	0	1.769285209	0	0	0
2	7	517.5159236	5108.81104	0.101298701	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.34819533	0	0	0	13.26963907	424.6284501	0	0	13.26963907
2	7	0	35456.47558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	849.2569002	17144.37367	0.049535604	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.07855626	0	743.0997877	53.07855626	0	0
2	7	1203.113942	7687.544232	0.156501726	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.69285209	1167.728238	0	17.69285209	0	0
2	7	176.9285209	45116.77282	0.003921569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.9285209	0	0
2	7	88.46426044	29104.74168	0.003039514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.46426044	0	0	0
2	7	0	6807.324841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	53.07855626	6758.669498	0.007853403	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.07855626	0	0	0
